Disease,Precaution_1,Precaution_2,Precaution_3,Precaution_4
Traumatic hemorrhage of right cerebrum with loss of consciousness of unspecified duration,Drink plenty of water,Avoid oily food,Take medicines on time,Monitor vitals regularly
Other and unspecified abnormal findings in urine,Take medicines on time,Avoid oily food,Get adequate rest,Maintain hygiene
Marfan's syndrome with ocular manifestations,Monitor vitals regularly,Avoid oily food,Take medicines on time,Drink plenty of water
Assault by unspecified larger firearm discharge,Monitor vitals regularly,Maintain hygiene,Avoid oily food,Take medicines on time
Underdosing of monoamine-oxidase-inhibitor antidepressants,Get adequate rest,Drink plenty of water,Exercise lightly,Take medicines on time
"Ectopic perineal testis, unilateral",Take medicines on time,Maintain hygiene,Drink plenty of water,Exercise lightly
Injury of digital nerve of right thumb,Drink plenty of water,Avoid oily food,Monitor vitals regularly,Maintain hygiene
"Algoneurodystrophy, forearm",Maintain hygiene,Avoid oily food,Exercise lightly,Monitor vitals regularly
"Age-related osteoporosis with current pathological fracture, left humerus",Exercise lightly,Avoid oily food,Take medicines on time,Maintain hygiene
Encounter for antibody response examination,Take medicines on time,Get adequate rest,Monitor vitals regularly,Exercise lightly
"Synovial hypertrophy, not elsewhere classified, upper arm",Get adequate rest,Drink plenty of water,Maintain hygiene,Take medicines on time
"Migraine with aura, not intractable",Drink plenty of water,Monitor vitals regularly,Take medicines on time,Avoid oily food
Other mechanical complication of cardiac electrode,Exercise lightly,Get adequate rest,Avoid oily food,Drink plenty of water
Laceration without foreign body of right index finger with damage to nail,Get adequate rest,Maintain hygiene,Avoid oily food,Exercise lightly
Secondary malignant neoplasm of brain and cerebral meninges,Exercise lightly,Avoid oily food,Drink plenty of water,Monitor vitals regularly
Other specified diabetes mellitus with diabetic cataract,Maintain hygiene,Monitor vitals regularly,Exercise lightly,Drink plenty of water
"Poisoning by other narcotics, accidental (unintentional)",Monitor vitals regularly,Maintain hygiene,Exercise lightly,Drink plenty of water
"Osteochondropathy, unspecified lower leg",Avoid oily food,Get adequate rest,Monitor vitals regularly,Maintain hygiene
Puncture wound without foreign body of left ring finger without damage to nail,Drink plenty of water,Get adequate rest,Monitor vitals regularly,Exercise lightly
Occlusion and stenosis of other cerebral arteries,Monitor vitals regularly,Maintain hygiene,Avoid oily food,Get adequate rest
"Laceration with foreign body of abdominal wall, left lower quadrant with penetration into peritoneal cavity",Drink plenty of water,Take medicines on time,Monitor vitals regularly,Maintain hygiene
Phlyctenular keratoconjunctivitis,Get adequate rest,Avoid oily food,Monitor vitals regularly,Drink plenty of water
Laceration of unspecified renal artery,Take medicines on time,Avoid oily food,Exercise lightly,Drink plenty of water
Encounter for screening for digestive system disorders,Monitor vitals regularly,Get adequate rest,Take medicines on time,Exercise lightly
Abrasion of right eyelid and periocular area,Get adequate rest,Exercise lightly,Monitor vitals regularly,Maintain hygiene
Tonic pupil,Get adequate rest,Exercise lightly,Monitor vitals regularly,Take medicines on time
Exfoliative dermatitis,Exercise lightly,Drink plenty of water,Avoid oily food,Get adequate rest
Abrasion of scalp,Maintain hygiene,Get adequate rest,Take medicines on time,Exercise lightly
"Legal intervention involving injury by machine gun, law enforcement official injured",Exercise lightly,Maintain hygiene,Avoid oily food,Take medicines on time
Dislocation of other parts of unspecified shoulder girdle,Exercise lightly,Get adequate rest,Maintain hygiene,Drink plenty of water
Unspecified superficial injury of left upper arm,Drink plenty of water,Maintain hygiene,Exercise lightly,Get adequate rest
Basal cell carcinoma of skin of ear and external auricular canal,Monitor vitals regularly,Exercise lightly,Drink plenty of water,Maintain hygiene
"Other specified injury of femoral artery, right leg",Drink plenty of water,Monitor vitals regularly,Avoid oily food,Get adequate rest
Blister (nonthermal) of right back wall of thorax,Monitor vitals regularly,Take medicines on time,Drink plenty of water,Maintain hygiene
"Corrosion of second degree of multiple right fingers (nail), not including thumb",Avoid oily food,Take medicines on time,Drink plenty of water,Maintain hygiene
Underdosing of other parasympathomimetics,Drink plenty of water,Get adequate rest,Take medicines on time,Monitor vitals regularly
Unilateral primary osteoarthritis of first carpometacarpal joint,Take medicines on time,Avoid oily food,Get adequate rest,Drink plenty of water
Other infection of genital tract following delivery,Get adequate rest,Take medicines on time,Avoid oily food,Drink plenty of water
"Intraoperative and postprocedural complications and disorders of digestive system, not elsewhere classified",Avoid oily food,Exercise lightly,Take medicines on time,Drink plenty of water
Breakdown (mechanical) of cardiac electrode,Exercise lightly,Maintain hygiene,Take medicines on time,Get adequate rest
Sprain of thyroid region,Maintain hygiene,Take medicines on time,Monitor vitals regularly,Exercise lightly
Concussion without loss of consciousness,Exercise lightly,Take medicines on time,Drink plenty of water,Maintain hygiene
"Interstitial myositis, upper arm",Avoid oily food,Take medicines on time,Get adequate rest,Drink plenty of water
Loose body in joint,Maintain hygiene,Drink plenty of water,Exercise lightly,Take medicines on time
Acute lymphangitis of other parts of limb,Take medicines on time,Exercise lightly,Get adequate rest,Drink plenty of water
"Cutaneous T-cell lymphoma, unspecified",Monitor vitals regularly,Take medicines on time,Avoid oily food,Maintain hygiene
"Maternal care for other specified fetal problems, first trimester",Get adequate rest,Avoid oily food,Take medicines on time,Monitor vitals regularly
Unspecified open wound of unspecified shoulder,Get adequate rest,Take medicines on time,Maintain hygiene,Monitor vitals regularly
Partial traumatic transphalangeal amputation of left thumb,Avoid oily food,Exercise lightly,Get adequate rest,Maintain hygiene
"Poisoning by androgens and anabolic congeners, accidental (unintentional)",Avoid oily food,Drink plenty of water,Get adequate rest,Take medicines on time
"Recurrent dislocation, hip",Avoid oily food,Get adequate rest,Drink plenty of water,Monitor vitals regularly
Other developmental disorders of scholastic skills,Take medicines on time,Avoid oily food,Get adequate rest,Maintain hygiene
"Nondisplaced comminuted fracture of shaft of radius, unspecified arm",Exercise lightly,Monitor vitals regularly,Drink plenty of water,Get adequate rest
Injury of digital nerve of right middle finger,Exercise lightly,Avoid oily food,Monitor vitals regularly,Maintain hygiene
Cerebral infarction due to unspecified occlusion or stenosis of other cerebral artery,Monitor vitals regularly,Avoid oily food,Get adequate rest,Maintain hygiene
"Malignant neoplasm of male genital organ, unspecified",Monitor vitals regularly,Exercise lightly,Get adequate rest,Take medicines on time
Multifocal and unisystemic Langerhans-cell histiocytosis,Get adequate rest,Take medicines on time,Exercise lightly,Maintain hygiene
Cocaine dependence,Maintain hygiene,Exercise lightly,Take medicines on time,Monitor vitals regularly
Puncture wound without foreign body of left lesser toe(s) without damage to nail,Maintain hygiene,Avoid oily food,Monitor vitals regularly,Get adequate rest
"Spontaneous rupture of other tendons, multiple sites",Monitor vitals regularly,Exercise lightly,Avoid oily food,Maintain hygiene
Intentional self-harm by blunt object,Avoid oily food,Monitor vitals regularly,Exercise lightly,Take medicines on time
Rectocele,Exercise lightly,Maintain hygiene,Drink plenty of water,Get adequate rest
Nondisplaced avulsion fracture of left ilium,Get adequate rest,Take medicines on time,Monitor vitals regularly,Drink plenty of water
"Other specified crystal arthropathies, elbow",Monitor vitals regularly,Take medicines on time,Get adequate rest,Avoid oily food
Superficial foreign body of right thumb,Drink plenty of water,Avoid oily food,Exercise lightly,Monitor vitals regularly
Other specified anemias,Drink plenty of water,Get adequate rest,Avoid oily food,Maintain hygiene
Other accident to commercial fixed-wing aircraft injuring occupant,Monitor vitals regularly,Drink plenty of water,Exercise lightly,Maintain hygiene
Corrosion of unspecified degree of multiple sites of right wrist and hand,Exercise lightly,Avoid oily food,Drink plenty of water,Maintain hygiene
Nondisplaced fracture of right tibial spine,Drink plenty of water,Take medicines on time,Monitor vitals regularly,Exercise lightly
Malignant neoplasm of olfactory nerve,Maintain hygiene,Exercise lightly,Monitor vitals regularly,Drink plenty of water
Other psychoactive substance abuse,Exercise lightly,Take medicines on time,Maintain hygiene,Avoid oily food
Burn of third degree of right foot,Take medicines on time,Get adequate rest,Drink plenty of water,Exercise lightly
Displaced fracture of proximal phalanx of unspecified great toe,Take medicines on time,Exercise lightly,Get adequate rest,Maintain hygiene
"Pedestrian with other conveyance injured in collision with other nonmotor vehicle, unspecified whether traffic or nontraffic accident",Drink plenty of water,Avoid oily food,Exercise lightly,Take medicines on time
"Contusion of fallopian tube, unilateral",Exercise lightly,Take medicines on time,Avoid oily food,Get adequate rest
"Blindness, one eye, low vision other eye",Drink plenty of water,Get adequate rest,Avoid oily food,Exercise lightly
Posterior subluxation of unspecified radial head,Exercise lightly,Take medicines on time,Monitor vitals regularly,Drink plenty of water
Zoster with other nervous system involvement,Monitor vitals regularly,Maintain hygiene,Get adequate rest,Exercise lightly
Personal history of diseases of the digestive system,Maintain hygiene,Take medicines on time,Exercise lightly,Monitor vitals regularly
"Capsular glaucoma with pseudoexfoliation of lens, bilateral",Take medicines on time,Drink plenty of water,Maintain hygiene,Get adequate rest
"Pathological fracture in other disease, unspecified shoulder",Exercise lightly,Get adequate rest,Drink plenty of water,Maintain hygiene
Viral hepatitis complicating pregnancy,Take medicines on time,Get adequate rest,Exercise lightly,Maintain hygiene
Acquired atrophy of ovary,Get adequate rest,Monitor vitals regularly,Take medicines on time,Exercise lightly
Diabetes mellitus due to underlying condition with moderate nonproliferative diabetic retinopathy without macular edema,Avoid oily food,Get adequate rest,Take medicines on time,Maintain hygiene
"Chronic multifocal osteomyelitis, humerus",Maintain hygiene,Take medicines on time,Monitor vitals regularly,Get adequate rest
"Strain of unspecified muscles, fascia and tendons at thigh level, unspecified thigh",Exercise lightly,Maintain hygiene,Monitor vitals regularly,Get adequate rest
Excessive and redundant skin and subcutaneous tissue,Exercise lightly,Get adequate rest,Take medicines on time,Maintain hygiene
"Unspecified physeal fracture of upper end of humerus, right arm",Take medicines on time,Drink plenty of water,Monitor vitals regularly,Get adequate rest
Unspecified physeal fracture of phalanx of left toe,Maintain hygiene,Get adequate rest,Take medicines on time,Monitor vitals regularly
Subluxation of other carpometacarpal joint of right hand,Take medicines on time,Monitor vitals regularly,Avoid oily food,Get adequate rest
"Osteitis deformans in neoplastic diseases, multiple sites",Monitor vitals regularly,Drink plenty of water,Avoid oily food,Get adequate rest
Pressure ulcer of unspecified site,Avoid oily food,Drink plenty of water,Monitor vitals regularly,Take medicines on time
Assault by fertilizer bomb,Monitor vitals regularly,Take medicines on time,Drink plenty of water,Get adequate rest
Burn of unspecified degree of unspecified thigh,Drink plenty of water,Take medicines on time,Monitor vitals regularly,Get adequate rest
Acquired stenosis of nasolacrimal duct,Take medicines on time,Monitor vitals regularly,Drink plenty of water,Get adequate rest
Subluxation of distal radioulnar joint of left wrist,Monitor vitals regularly,Exercise lightly,Avoid oily food,Get adequate rest
Puncture wound without foreign body of left great toe with damage to nail,Take medicines on time,Get adequate rest,Monitor vitals regularly,Avoid oily food
Degenerative myopia with foveoschisis,Avoid oily food,Monitor vitals regularly,Maintain hygiene,Drink plenty of water
Open bite of unspecified toe(s) without damage to nail,Monitor vitals regularly,Maintain hygiene,Drink plenty of water,Avoid oily food
Other rupture of muscle (nontraumatic),Take medicines on time,Get adequate rest,Maintain hygiene,Avoid oily food
Driver of bus injured in collision with two- or three-wheeled motor vehicle in nontraffic accident,Exercise lightly,Maintain hygiene,Take medicines on time,Drink plenty of water
"Toxic effect of other specified noxious substances eaten as food, assault",Take medicines on time,Avoid oily food,Drink plenty of water,Get adequate rest
"Loose body, other site",Avoid oily food,Exercise lightly,Monitor vitals regularly,Take medicines on time
"Decreased fetal movements, unspecified trimester",Drink plenty of water,Take medicines on time,Monitor vitals regularly,Avoid oily food
Metatarsalgia,Drink plenty of water,Monitor vitals regularly,Take medicines on time,Avoid oily food
Juvenile osteochondrosis of humerus,Get adequate rest,Take medicines on time,Exercise lightly,Drink plenty of water
"Bennett's fracture, unspecified hand",Drink plenty of water,Maintain hygiene,Take medicines on time,Exercise lightly
Unspecified complication of foreign body accidentally left in body following heart catheterization,Take medicines on time,Maintain hygiene,Monitor vitals regularly,Exercise lightly
Corrosion of second degree of single left finger (nail) except thumb,Drink plenty of water,Take medicines on time,Monitor vitals regularly,Get adequate rest
Laceration with foreign body of right buttock,Maintain hygiene,Take medicines on time,Drink plenty of water,Avoid oily food
"Thrombosis due to nervous system prosthetic devices, implants and grafts",Maintain hygiene,Avoid oily food,Drink plenty of water,Take medicines on time
Neoplasms of unspecified behavior,Monitor vitals regularly,Take medicines on time,Maintain hygiene,Exercise lightly
"Partial traumatic amputation at elbow level, unspecified arm",Drink plenty of water,Take medicines on time,Monitor vitals regularly,Get adequate rest
Person on outside of car injured in collision with two- or three-wheeled motor vehicle in traffic accident,Exercise lightly,Take medicines on time,Monitor vitals regularly,Get adequate rest
Protozoal diseases complicating the puerperium,Drink plenty of water,Take medicines on time,Avoid oily food,Monitor vitals regularly
Displacement of internal fixation device of vertebrae,Get adequate rest,Monitor vitals regularly,Maintain hygiene,Exercise lightly
Traumatic hemorrhage of right cerebrum with loss of consciousness greater than 24 hours with return to pre-existing conscious level,Drink plenty of water,Avoid oily food,Maintain hygiene,Monitor vitals regularly
Dislocation of C7/T1 cervical vertebrae,Exercise lightly,Drink plenty of water,Maintain hygiene,Get adequate rest
Superficial foreign body of unspecified part of neck,Get adequate rest,Take medicines on time,Avoid oily food,Drink plenty of water
Subluxation of unspecified interphalangeal joint of left index finger,Get adequate rest,Monitor vitals regularly,Take medicines on time,Drink plenty of water
"Poisoning by unspecified agents primarily affecting the gastrointestinal system, assault",Get adequate rest,Drink plenty of water,Monitor vitals regularly,Avoid oily food
Dislocation of C6/C7 cervical vertebrae,Drink plenty of water,Avoid oily food,Get adequate rest,Maintain hygiene
Postprocedural testicular hypofunction,Drink plenty of water,Avoid oily food,Exercise lightly,Take medicines on time
Acute myocarditis,Monitor vitals regularly,Get adequate rest,Take medicines on time,Maintain hygiene
"Hypertrophy of bone, shoulder",Maintain hygiene,Take medicines on time,Monitor vitals regularly,Get adequate rest
"Toxic effect of carbon monoxide from utility gas, intentional self-harm",Avoid oily food,Drink plenty of water,Get adequate rest,Exercise lightly
Assault by strike by hockey stick,Take medicines on time,Get adequate rest,Avoid oily food,Exercise lightly
Unspecified open wound of scrotum and testes,Avoid oily food,Get adequate rest,Drink plenty of water,Monitor vitals regularly
"Toxic effect of other metals, intentional self-harm",Exercise lightly,Take medicines on time,Get adequate rest,Drink plenty of water
"Legal intervention involving injury by dynamite, bystander injured",Take medicines on time,Monitor vitals regularly,Exercise lightly,Drink plenty of water
Other injury of liver,Monitor vitals regularly,Take medicines on time,Get adequate rest,Exercise lightly
Other symptoms and signs involving emotional state,Avoid oily food,Maintain hygiene,Drink plenty of water,Exercise lightly
Unspecified asthma,Get adequate rest,Monitor vitals regularly,Drink plenty of water,Avoid oily food
Abdominal pregnancy,Avoid oily food,Drink plenty of water,Get adequate rest,Take medicines on time
Posterior displaced fracture of sternal end of unspecified clavicle,Avoid oily food,Maintain hygiene,Exercise lightly,Get adequate rest
Displacement of breast prosthesis and implant,Avoid oily food,Take medicines on time,Exercise lightly,Maintain hygiene
"Puncture wound with foreign body of abdominal wall, right lower quadrant with penetration into peritoneal cavity",Drink plenty of water,Maintain hygiene,Exercise lightly,Get adequate rest
"Benign neoplasm of endocrine gland, unspecified",Take medicines on time,Get adequate rest,Monitor vitals regularly,Drink plenty of water
Other superficial bite of left wrist,Maintain hygiene,Exercise lightly,Avoid oily food,Monitor vitals regularly
Struck by other hoof stock,Avoid oily food,Get adequate rest,Exercise lightly,Maintain hygiene
Nondisplaced fracture of body of left calcaneus,Drink plenty of water,Exercise lightly,Take medicines on time,Maintain hygiene
Injury due to collapse of burning building or structure in uncontrolled fire,Monitor vitals regularly,Exercise lightly,Maintain hygiene,Get adequate rest
"Salter-Harris Type IV physeal fracture of lower end of radius, unspecified arm",Get adequate rest,Monitor vitals regularly,Exercise lightly,Drink plenty of water
"Abnormal findings on diagnostic imaging of other abdominal regions, including retroperitoneum",Drink plenty of water,Maintain hygiene,Get adequate rest,Take medicines on time
Slaughter house as the place of occurrence of the external cause,Get adequate rest,Maintain hygiene,Monitor vitals regularly,Drink plenty of water
Contusion of unspecified upper arm,Maintain hygiene,Take medicines on time,Monitor vitals regularly,Avoid oily food
Chronic laryngitis and laryngotracheitis,Exercise lightly,Maintain hygiene,Get adequate rest,Monitor vitals regularly
Blister (nonthermal) of unspecified part of head,Get adequate rest,Take medicines on time,Maintain hygiene,Drink plenty of water
Pedal cycle driver injured in collision with other pedal cycle in nontraffic accident,Exercise lightly,Avoid oily food,Monitor vitals regularly,Drink plenty of water
Rheumatoid vasculitis with rheumatoid arthritis of hand,Get adequate rest,Maintain hygiene,Drink plenty of water,Avoid oily food
Abnormal tumor markers,Drink plenty of water,Take medicines on time,Get adequate rest,Exercise lightly
Other fracture of unspecified lesser toe(s),Avoid oily food,Exercise lightly,Maintain hygiene,Drink plenty of water
"Pathological fracture in other disease, unspecified site",Drink plenty of water,Exercise lightly,Take medicines on time,Get adequate rest
Burn of unspecified internal organ,Monitor vitals regularly,Take medicines on time,Exercise lightly,Maintain hygiene
Unspecified sprain of unspecified great toe,Take medicines on time,Get adequate rest,Monitor vitals regularly,Maintain hygiene
Traumatic rupture of unspecified radiocarpal ligament,Exercise lightly,Drink plenty of water,Get adequate rest,Maintain hygiene
Unspecified injury of right renal artery,Get adequate rest,Drink plenty of water,Take medicines on time,Avoid oily food
Constipation,Get adequate rest,Monitor vitals regularly,Maintain hygiene,Take medicines on time
"Asphyxiation due to hanging, intentional self-harm",Exercise lightly,Drink plenty of water,Take medicines on time,Maintain hygiene
"Other physeal fracture of upper end of radius, right arm",Avoid oily food,Get adequate rest,Exercise lightly,Monitor vitals regularly
Atherosclerosis of autologous vein bypass graft(s) of the extremities with intermittent claudication,Take medicines on time,Get adequate rest,Monitor vitals regularly,Maintain hygiene
Nondisplaced fracture of posterior column [ilioischial] of unspecified acetabulum,Take medicines on time,Drink plenty of water,Exercise lightly,Get adequate rest
"Aggressive periodontitis, localized",Exercise lightly,Take medicines on time,Drink plenty of water,Avoid oily food
Person injured while boarding or alighting from special industrial vehicle,Take medicines on time,Maintain hygiene,Exercise lightly,Get adequate rest
"Osteitis condensans, hand",Avoid oily food,Get adequate rest,Monitor vitals regularly,Take medicines on time
Unspecified injury to L4 level of lumbar spinal cord,Monitor vitals regularly,Avoid oily food,Maintain hygiene,Drink plenty of water
Sprain of right sternoclavicular joint,Monitor vitals regularly,Get adequate rest,Take medicines on time,Drink plenty of water
Adverse effect of aminoglycosides,Avoid oily food,Monitor vitals regularly,Take medicines on time,Get adequate rest
Maternal care for (suspected) damage to fetus by drugs,Exercise lightly,Avoid oily food,Drink plenty of water,Maintain hygiene
"Phakomatosis, unspecified",Get adequate rest,Monitor vitals regularly,Exercise lightly,Take medicines on time
Other specified intracranial injury with loss of consciousness of 6 hours to 24 hours,Drink plenty of water,Monitor vitals regularly,Maintain hygiene,Avoid oily food
"Other specified injury of unspecified muscles, fascia and tendons at thigh level, unspecified thigh",Get adequate rest,Drink plenty of water,Monitor vitals regularly,Exercise lightly
Benign neoplasm of choroid,Maintain hygiene,Get adequate rest,Avoid oily food,Exercise lightly
Phlegmonous dacryocystitis,Avoid oily food,Drink plenty of water,Exercise lightly,Monitor vitals regularly
Old myocardial infarction,Exercise lightly,Avoid oily food,Take medicines on time,Get adequate rest
Unspecified fracture of shaft of right ulna,Get adequate rest,Take medicines on time,Drink plenty of water,Monitor vitals regularly
Drug- and heavy-metal-induced tubulo-interstitial and tubular conditions,Get adequate rest,Monitor vitals regularly,Maintain hygiene,Drink plenty of water
Jumping or diving into other water striking water surface causing other injury,Avoid oily food,Monitor vitals regularly,Get adequate rest,Maintain hygiene
Moderate laceration of right kidney,Drink plenty of water,Avoid oily food,Get adequate rest,Monitor vitals regularly
"Poisoning by other nonsteroidal anti-inflammatory drugs [NSAID], assault",Get adequate rest,Drink plenty of water,Monitor vitals regularly,Avoid oily food
"Poisoning by unspecified psychodysleptics [hallucinogens], intentional self-harm",Drink plenty of water,Monitor vitals regularly,Avoid oily food,Take medicines on time
Neuronal ceroid lipofuscinosis,Take medicines on time,Get adequate rest,Drink plenty of water,Exercise lightly
Other superficial bite of left middle finger,Avoid oily food,Drink plenty of water,Maintain hygiene,Take medicines on time
Other specified extrapyramidal and movement disorders,Get adequate rest,Take medicines on time,Drink plenty of water,Avoid oily food
Malignant neoplasm of main bronchus,Exercise lightly,Take medicines on time,Get adequate rest,Maintain hygiene
Bilateral post-traumatic osteoarthritis of knee,Monitor vitals regularly,Drink plenty of water,Exercise lightly,Get adequate rest
"Age-related osteoporosis with current pathological fracture, left femur",Get adequate rest,Exercise lightly,Monitor vitals regularly,Take medicines on time
Laceration without foreign body of right lesser toe(s) with damage to nail,Take medicines on time,Drink plenty of water,Avoid oily food,Exercise lightly
Unspecified physeal fracture of upper end of left tibia,Get adequate rest,Drink plenty of water,Avoid oily food,Monitor vitals regularly
Degeneration of nervous system due to alcohol,Monitor vitals regularly,Maintain hygiene,Take medicines on time,Exercise lightly
Bilateral post-traumatic osteoarthritis of first carpometacarpal joints,Maintain hygiene,Avoid oily food,Take medicines on time,Drink plenty of water
Dermatitis due to substances taken internally,Take medicines on time,Maintain hygiene,Get adequate rest,Exercise lightly
Unspecified focal traumatic brain injury with loss of consciousness greater than 24 hours without return to pre-existing conscious level with patient surviving,Avoid oily food,Drink plenty of water,Maintain hygiene,Exercise lightly
Malignant neoplasm of corpus uteri,Maintain hygiene,Take medicines on time,Get adequate rest,Avoid oily food
Other specified bacterial intestinal infections,Exercise lightly,Avoid oily food,Maintain hygiene,Take medicines on time
Unspecified sprain of left lesser toe(s),Take medicines on time,Maintain hygiene,Exercise lightly,Avoid oily food
Displaced comminuted supracondylar fracture without intercondylar fracture of unspecified humerus,Monitor vitals regularly,Drink plenty of water,Exercise lightly,Avoid oily food
Unspecified staphylococcus as the cause of diseases classified elsewhere,Drink plenty of water,Monitor vitals regularly,Exercise lightly,Get adequate rest
External constriction of right elbow,Monitor vitals regularly,Exercise lightly,Maintain hygiene,Get adequate rest
Traumatic subdural hemorrhage with loss of consciousness of 1 hour to 5 hours 59 minutes,Exercise lightly,Get adequate rest,Avoid oily food,Drink plenty of water
Seborrheic dermatitis,Maintain hygiene,Take medicines on time,Exercise lightly,Get adequate rest
Other superficial bite of right middle finger,Drink plenty of water,Monitor vitals regularly,Avoid oily food,Exercise lightly
"Poisoning by other antacids and anti-gastric-secretion drugs, accidental (unintentional)",Take medicines on time,Get adequate rest,Monitor vitals regularly,Drink plenty of water
Drowning and submersion due to being thrown overboard by motion of other powered watercraft,Exercise lightly,Avoid oily food,Monitor vitals regularly,Take medicines on time
"Flexion deformity, ankle and toes",Maintain hygiene,Monitor vitals regularly,Exercise lightly,Get adequate rest
Supervision of pregnancy with history of ectopic pregnancy,Drink plenty of water,Avoid oily food,Get adequate rest,Exercise lightly
"Osteonecrosis due to previous trauma, humerus",Monitor vitals regularly,Drink plenty of water,Maintain hygiene,Exercise lightly
"Fatigue fracture of vertebra, occipito-atlanto-axial region",Take medicines on time,Monitor vitals regularly,Drink plenty of water,Avoid oily food
Farm as the place of occurrence of the external cause,Maintain hygiene,Take medicines on time,Monitor vitals regularly,Avoid oily food
"Contusion, laceration, and hemorrhage of cerebellum with loss of consciousness of 1 hour to 5 hours 59 minutes",Take medicines on time,Monitor vitals regularly,Get adequate rest,Maintain hygiene
"Strain of unspecified muscles, fascia and tendons at forearm level, left arm",Maintain hygiene,Avoid oily food,Exercise lightly,Monitor vitals regularly
Antepartum hemorrhage with other coagulation defect,Get adequate rest,Take medicines on time,Drink plenty of water,Monitor vitals regularly
Short Achilles tendon (acquired),Exercise lightly,Monitor vitals regularly,Maintain hygiene,Get adequate rest
Unspecified sprain of left great toe,Avoid oily food,Get adequate rest,Take medicines on time,Drink plenty of water
"Osteitis deformans in neoplastic diseases, upper arm",Drink plenty of water,Take medicines on time,Avoid oily food,Exercise lightly
Unspecified open wound of right hand,Maintain hygiene,Exercise lightly,Get adequate rest,Take medicines on time
Bitten by other mammals,Take medicines on time,Drink plenty of water,Maintain hygiene,Get adequate rest
"Displaced comminuted fracture of shaft of humerus, right arm",Drink plenty of water,Monitor vitals regularly,Get adequate rest,Take medicines on time
"Toxic effect of methanol, accidental (unintentional)",Exercise lightly,Maintain hygiene,Get adequate rest,Drink plenty of water
Rheumatoid lung disease with rheumatoid arthritis,Take medicines on time,Monitor vitals regularly,Get adequate rest,Avoid oily food
"Toxic effect of carbon monoxide from other source, undetermined",Avoid oily food,Monitor vitals regularly,Exercise lightly,Drink plenty of water
Meningitis in bacterial diseases classified elsewhere,Maintain hygiene,Get adequate rest,Avoid oily food,Take medicines on time
Unspecified corneal ulcer,Monitor vitals regularly,Take medicines on time,Get adequate rest,Maintain hygiene
"Primary osteoarthritis, hand",Drink plenty of water,Monitor vitals regularly,Avoid oily food,Take medicines on time
"Continuing pregnancy after spontaneous abortion of one fetus or more, first trimester",Take medicines on time,Drink plenty of water,Monitor vitals regularly,Get adequate rest
"Other injury of flexor muscle, fascia and tendon of right index finger at forearm level",Take medicines on time,Maintain hygiene,Get adequate rest,Monitor vitals regularly
Other disorders of central nervous system,Take medicines on time,Avoid oily food,Drink plenty of water,Monitor vitals regularly
"Other specified disorders of bone density and structure, ankle and foot",Drink plenty of water,Maintain hygiene,Avoid oily food,Take medicines on time
Other malformation of placenta,Take medicines on time,Avoid oily food,Get adequate rest,Drink plenty of water
"Other specified injury of unspecified blood vessel at forearm level, left arm",Maintain hygiene,Monitor vitals regularly,Take medicines on time,Get adequate rest
"Superficial foreign body, unspecified thigh",Monitor vitals regularly,Drink plenty of water,Exercise lightly,Maintain hygiene
"Poisoning by unspecified drugs, medicaments and biological substances, accidental (unintentional)",Exercise lightly,Take medicines on time,Get adequate rest,Maintain hygiene
"Monosomies and deletions from the autosomes, not elsewhere classified",Get adequate rest,Drink plenty of water,Take medicines on time,Exercise lightly
Vertical strabismus,Take medicines on time,Get adequate rest,Exercise lightly,Maintain hygiene
Low lying placenta NOS or without hemorrhage,Drink plenty of water,Maintain hygiene,Get adequate rest,Monitor vitals regularly
Contusion of unspecified eyelid and periocular area,Maintain hygiene,Monitor vitals regularly,Exercise lightly,Take medicines on time
Acute hematogenous osteomyelitis,Maintain hygiene,Drink plenty of water,Monitor vitals regularly,Get adequate rest
Traumatic rupture of collateral ligament of left middle finger at metacarpophalangeal and interphalangeal joint,Maintain hygiene,Monitor vitals regularly,Take medicines on time,Get adequate rest
"Strain of muscle, fascia and tendon of triceps, unspecified arm",Exercise lightly,Get adequate rest,Maintain hygiene,Take medicines on time
"War operations involving flamethrower, civilian",Take medicines on time,Drink plenty of water,Exercise lightly,Maintain hygiene
Complications of lung transplant,Monitor vitals regularly,Exercise lightly,Drink plenty of water,Take medicines on time
Nondisplaced fracture of medial condyle of right humerus,Get adequate rest,Exercise lightly,Monitor vitals regularly,Maintain hygiene
"Fatigue fracture of vertebra, lumbar region",Avoid oily food,Take medicines on time,Drink plenty of water,Exercise lightly
"Poisoning by pertussis vaccine, including combinations with a pertussis component, accidental (unintentional)",Avoid oily food,Drink plenty of water,Take medicines on time,Exercise lightly
"Injury of median nerve at upper arm level, left arm",Maintain hygiene,Take medicines on time,Exercise lightly,Avoid oily food
Benign neoplasm of unspecified site of orbit,Take medicines on time,Avoid oily food,Monitor vitals regularly,Drink plenty of water
Moderate laceration of head of pancreas,Maintain hygiene,Avoid oily food,Drink plenty of water,Take medicines on time
Aphagia and dysphagia,Monitor vitals regularly,Maintain hygiene,Take medicines on time,Get adequate rest
Person boarding or alighting a heavy transport vehicle injured in collision with two- or three-wheeled motor vehicle,Monitor vitals regularly,Avoid oily food,Get adequate rest,Drink plenty of water
"Laceration of extensor muscle, fascia and tendon of right middle finger at wrist and hand level",Take medicines on time,Exercise lightly,Avoid oily food,Drink plenty of water
