Disease,Description
Specific developmental disorders of speech and language,Specific developmental disorders of speech and language is a medical condition that requires attention. Symptoms may vary.
"Burn of second degree of multiple sites of right lower limb, except ankle and foot","Burn of second degree of multiple sites of right lower limb, except ankle and foot is a medical condition that requires attention. Symptoms may vary."
Driver of 3- or 4- wheeled all-terrain vehicle (ATV) injured in nontraffic accident,Driver of 3- or 4- wheeled all-terrain vehicle (ATV) injured in nontraffic accident is a medical condition that requires attention. Symptoms may vary.
Major laceration of abdominal aorta,Major laceration of abdominal aorta is a medical condition that requires attention. Symptoms may vary.
Unspecified injury of superficial palmar arch of left hand,Unspecified injury of superficial palmar arch of left hand is a medical condition that requires attention. Symptoms may vary.
Intentional self-harm by unspecified sharp object,Intentional self-harm by unspecified sharp object is a medical condition that requires attention. Symptoms may vary.
"Unspecified drowning and submersion, undetermined intent","Unspecified drowning and submersion, undetermined intent is a medical condition that requires attention. Symptoms may vary."
Burn due to unspecified watercraft on fire,Burn due to unspecified watercraft on fire is a medical condition that requires attention. Symptoms may vary.
Nondisplaced longitudinal fracture of left patella,Nondisplaced longitudinal fracture of left patella is a medical condition that requires attention. Symptoms may vary.
"Puncture wound with foreign body, right ankle","Puncture wound with foreign body, right ankle is a medical condition that requires attention. Symptoms may vary."
Stable burst fracture of second lumbar vertebra,Stable burst fracture of second lumbar vertebra is a medical condition that requires attention. Symptoms may vary.
Other specified obstructed labor,Other specified obstructed labor is a medical condition that requires attention. Symptoms may vary.
Other sprain of right elbow,Other sprain of right elbow is a medical condition that requires attention. Symptoms may vary.
Urinary tract infection following delivery,Urinary tract infection following delivery is a medical condition that requires attention. Symptoms may vary.
"Benign neoplasm, unspecified site","Benign neoplasm, unspecified site is a medical condition that requires attention. Symptoms may vary."
Sprain of metatarsophalangeal joint of left great toe,Sprain of metatarsophalangeal joint of left great toe is a medical condition that requires attention. Symptoms may vary.
"Other specified complication of vascular prosthetic devices, implants and grafts","Other specified complication of vascular prosthetic devices, implants and grafts is a medical condition that requires attention. Symptoms may vary."
"Pneumococcal arthritis, ankle and foot","Pneumococcal arthritis, ankle and foot is a medical condition that requires attention. Symptoms may vary."
"Other osteoporosis with current pathological fracture, left ankle and foot","Other osteoporosis with current pathological fracture, left ankle and foot is a medical condition that requires attention. Symptoms may vary."
Laceration of left renal vein,Laceration of left renal vein is a medical condition that requires attention. Symptoms may vary.
Fracture of unspecified phalanx of other finger,Fracture of unspecified phalanx of other finger is a medical condition that requires attention. Symptoms may vary.
Unspecified car occupant injured in collision with unspecified motor vehicles in nontraffic accident,Unspecified car occupant injured in collision with unspecified motor vehicles in nontraffic accident is a medical condition that requires attention. Symptoms may vary.
"Displaced fracture of pisiform, unspecified wrist","Displaced fracture of pisiform, unspecified wrist is a medical condition that requires attention. Symptoms may vary."
Orthopedic aftercare,Orthopedic aftercare is a medical condition that requires attention. Symptoms may vary.
Other psychoactive substance abuse with psychoactive substance-induced persisting amnestic disorder,Other psychoactive substance abuse with psychoactive substance-induced persisting amnestic disorder is a medical condition that requires attention. Symptoms may vary.
Traumatic rupture of other ligament of other finger at metacarpophalangeal and interphalangeal joint,Traumatic rupture of other ligament of other finger at metacarpophalangeal and interphalangeal joint is a medical condition that requires attention. Symptoms may vary.
Nondisplaced fracture of coronoid process of unspecified ulna,Nondisplaced fracture of coronoid process of unspecified ulna is a medical condition that requires attention. Symptoms may vary.
Underdosing of 4-Aminophenol derivatives,Underdosing of 4-Aminophenol derivatives is a medical condition that requires attention. Symptoms may vary.
Unspecified sprain of left thumb,Unspecified sprain of left thumb is a medical condition that requires attention. Symptoms may vary.
"Spontaneous rupture of extensor tendons, ankle and foot","Spontaneous rupture of extensor tendons, ankle and foot is a medical condition that requires attention. Symptoms may vary."
Contusion and laceration of left cerebrum with loss of consciousness of any duration with death due to other cause prior to regaining consciousness,Contusion and laceration of left cerebrum with loss of consciousness of any duration with death due to other cause prior to regaining consciousness is a medical condition that requires attention. Symptoms may vary.
Pain in knee,Pain in knee is a medical condition that requires attention. Symptoms may vary.
Major contusion of right kidney,Major contusion of right kidney is a medical condition that requires attention. Symptoms may vary.
Procedure and treatment not carried out because of contraindication,Procedure and treatment not carried out because of contraindication is a medical condition that requires attention. Symptoms may vary.
Machinery accident on board sailboat,Machinery accident on board sailboat is a medical condition that requires attention. Symptoms may vary.
Pre-existing hypertensive heart disease complicating childbirth,Pre-existing hypertensive heart disease complicating childbirth is a medical condition that requires attention. Symptoms may vary.
Other fracture of lower end of right femur,Other fracture of lower end of right femur is a medical condition that requires attention. Symptoms may vary.
Partial traumatic amputation at unspecified hip joint,Partial traumatic amputation at unspecified hip joint is a medical condition that requires attention. Symptoms may vary.
Acute bronchitis,Acute bronchitis is a medical condition that requires attention. Symptoms may vary.
"Papyraceous fetus, first trimester","Papyraceous fetus, first trimester is a medical condition that requires attention. Symptoms may vary."
Major laceration of head of pancreas,Major laceration of head of pancreas is a medical condition that requires attention. Symptoms may vary.
"Thiamine deficiency, unspecified","Thiamine deficiency, unspecified is a medical condition that requires attention. Symptoms may vary."
"Toxic effect of other tobacco and nicotine, assault","Toxic effect of other tobacco and nicotine, assault is a medical condition that requires attention. Symptoms may vary."
"Other complications specific to multiple gestation, second trimester","Other complications specific to multiple gestation, second trimester is a medical condition that requires attention. Symptoms may vary."
Corrosion of unspecified degree of unspecified knee,Corrosion of unspecified degree of unspecified knee is a medical condition that requires attention. Symptoms may vary.
Unspecified displaced fracture of seventh cervical vertebra,Unspecified displaced fracture of seventh cervical vertebra is a medical condition that requires attention. Symptoms may vary.
Intentional self-harm by jumping or lying in front of (subway) train,Intentional self-harm by jumping or lying in front of (subway) train is a medical condition that requires attention. Symptoms may vary.
"Other secondary chronic gout, right elbow","Other secondary chronic gout, right elbow is a medical condition that requires attention. Symptoms may vary."
"Laceration of body of pancreas, unspecified degree","Laceration of body of pancreas, unspecified degree is a medical condition that requires attention. Symptoms may vary."
Superficial frostbite of unspecified wrist,Superficial frostbite of unspecified wrist is a medical condition that requires attention. Symptoms may vary.
Unstable burst fracture of fifth lumbar vertebra,Unstable burst fracture of fifth lumbar vertebra is a medical condition that requires attention. Symptoms may vary.
Unspecified superficial injury of nose,Unspecified superficial injury of nose is a medical condition that requires attention. Symptoms may vary.
Drowning and submersion due to being thrown overboard by motion of unspecified watercraft,Drowning and submersion due to being thrown overboard by motion of unspecified watercraft is a medical condition that requires attention. Symptoms may vary.
"Corrosion of third degree of multiple sites of unspecified shoulder and upper limb, except wrist and hand","Corrosion of third degree of multiple sites of unspecified shoulder and upper limb, except wrist and hand is a medical condition that requires attention. Symptoms may vary."
Visual field defects,Visual field defects is a medical condition that requires attention. Symptoms may vary.
Superficial foreign body of lower back and pelvis,Superficial foreign body of lower back and pelvis is a medical condition that requires attention. Symptoms may vary.
Corrosion of second degree of right axilla,Corrosion of second degree of right axilla is a medical condition that requires attention. Symptoms may vary.
Breakdown (mechanical) of prosthetic orbit of left eye,Breakdown (mechanical) of prosthetic orbit of left eye is a medical condition that requires attention. Symptoms may vary.
Infection and inflammatory reaction due to internal fixation device of left ulna,Infection and inflammatory reaction due to internal fixation device of left ulna is a medical condition that requires attention. Symptoms may vary.
Other forms of aspergillosis,Other forms of aspergillosis is a medical condition that requires attention. Symptoms may vary.
"Maxillary fracture, right side","Maxillary fracture, right side is a medical condition that requires attention. Symptoms may vary."
Other tuberculosis of nervous system,Other tuberculosis of nervous system is a medical condition that requires attention. Symptoms may vary.
Displaced comminuted fracture of shaft of unspecified femur,Displaced comminuted fracture of shaft of unspecified femur is a medical condition that requires attention. Symptoms may vary.
Rheumatoid heart disease with rheumatoid arthritis of hip,Rheumatoid heart disease with rheumatoid arthritis of hip is a medical condition that requires attention. Symptoms may vary.
"Toxic effect of dichloromethane, assault","Toxic effect of dichloromethane, assault is a medical condition that requires attention. Symptoms may vary."
"Displaced fracture of shaft of first metacarpal bone, right hand","Displaced fracture of shaft of first metacarpal bone, right hand is a medical condition that requires attention. Symptoms may vary."
"Laceration of long flexor muscle, fascia and tendon of left thumb at wrist and hand level","Laceration of long flexor muscle, fascia and tendon of left thumb at wrist and hand level is a medical condition that requires attention. Symptoms may vary."
"Asphyxiation due to smothering under another person's body (in bed), undetermined","Asphyxiation due to smothering under another person's body (in bed), undetermined is a medical condition that requires attention. Symptoms may vary."
Breakdown (mechanical) of nephrostomy catheter,Breakdown (mechanical) of nephrostomy catheter is a medical condition that requires attention. Symptoms may vary.
Passenger in three-wheeled motor vehicle injured in collision with other motor vehicles in nontraffic accident,Passenger in three-wheeled motor vehicle injured in collision with other motor vehicles in nontraffic accident is a medical condition that requires attention. Symptoms may vary.
Underdosing of anticoagulants,Underdosing of anticoagulants is a medical condition that requires attention. Symptoms may vary.
"Skeletal fluorosis, shoulder","Skeletal fluorosis, shoulder is a medical condition that requires attention. Symptoms may vary."
Labyrinthitis,Labyrinthitis is a medical condition that requires attention. Symptoms may vary.
Obstetric high vaginal laceration alone,Obstetric high vaginal laceration alone is a medical condition that requires attention. Symptoms may vary.
Accidental twist by another person,Accidental twist by another person is a medical condition that requires attention. Symptoms may vary.
Burn of first degree of left palm,Burn of first degree of left palm is a medical condition that requires attention. Symptoms may vary.
Burn of unspecified degree of left forearm,Burn of unspecified degree of left forearm is a medical condition that requires attention. Symptoms may vary.
"Displaced fracture of fifth metatarsal bone, left foot","Displaced fracture of fifth metatarsal bone, left foot is a medical condition that requires attention. Symptoms may vary."
"Burn of unspecified degree of multiple right fingers (nail), including thumb","Burn of unspecified degree of multiple right fingers (nail), including thumb is a medical condition that requires attention. Symptoms may vary."
"Nondisplaced fracture of neck of scapula, left shoulder","Nondisplaced fracture of neck of scapula, left shoulder is a medical condition that requires attention. Symptoms may vary."
Nondisplaced fracture of distal phalanx of unspecified great toe,Nondisplaced fracture of distal phalanx of unspecified great toe is a medical condition that requires attention. Symptoms may vary.
"Cystic fibrosis, unspecified","Cystic fibrosis, unspecified is a medical condition that requires attention. Symptoms may vary."
Crushing injury of unspecified forearm,Crushing injury of unspecified forearm is a medical condition that requires attention. Symptoms may vary.
Schizotypal disorder,Schizotypal disorder is a medical condition that requires attention. Symptoms may vary.
"Zygomatic fracture, unspecified side","Zygomatic fracture, unspecified side is a medical condition that requires attention. Symptoms may vary."
Other contact with hot air and other hot gases,Other contact with hot air and other hot gases is a medical condition that requires attention. Symptoms may vary.
Activities involving computer technology and electronic devices,Activities involving computer technology and electronic devices is a medical condition that requires attention. Symptoms may vary.
"Complete traumatic amputation of left foot, level unspecified","Complete traumatic amputation of left foot, level unspecified is a medical condition that requires attention. Symptoms may vary."
"Charcot's joint, multiple sites","Charcot's joint, multiple sites is a medical condition that requires attention. Symptoms may vary."
Unspecified occupant of pick-up truck or van injured in collision with railway train or railway vehicle in nontraffic accident,Unspecified occupant of pick-up truck or van injured in collision with railway train or railway vehicle in nontraffic accident is a medical condition that requires attention. Symptoms may vary.
Unspecified displaced fracture of first cervical vertebra,Unspecified displaced fracture of first cervical vertebra is a medical condition that requires attention. Symptoms may vary.
"Other tear of lateral meniscus, current injury, left knee","Other tear of lateral meniscus, current injury, left knee is a medical condition that requires attention. Symptoms may vary."
"Military operations involving other forms of conventional warfare, military personnel","Military operations involving other forms of conventional warfare, military personnel is a medical condition that requires attention. Symptoms may vary."
"Disorder of white blood cells, unspecified","Disorder of white blood cells, unspecified is a medical condition that requires attention. Symptoms may vary."
Acute Eustachian salpingitis,Acute Eustachian salpingitis is a medical condition that requires attention. Symptoms may vary.
"Spouse or partner, perpetrator of maltreatment and neglect","Spouse or partner, perpetrator of maltreatment and neglect is a medical condition that requires attention. Symptoms may vary."
Laceration with foreign body of left index finger with damage to nail,Laceration with foreign body of left index finger with damage to nail is a medical condition that requires attention. Symptoms may vary.
Occlusion and stenosis of vertebral artery,Occlusion and stenosis of vertebral artery is a medical condition that requires attention. Symptoms may vary.
"Toxic effect of unspecified metal, undetermined","Toxic effect of unspecified metal, undetermined is a medical condition that requires attention. Symptoms may vary."
Crushing injury of left ankle,Crushing injury of left ankle is a medical condition that requires attention. Symptoms may vary.
Other specified sprain of unspecified wrist,Other specified sprain of unspecified wrist is a medical condition that requires attention. Symptoms may vary.
Inflammatory polyarthropathy,Inflammatory polyarthropathy is a medical condition that requires attention. Symptoms may vary.
Unspecified entropion of eyelid,Unspecified entropion of eyelid is a medical condition that requires attention. Symptoms may vary.
"Burn and corrosion, body region unspecified","Burn and corrosion, body region unspecified is a medical condition that requires attention. Symptoms may vary."
"Acquired absence of limb, unspecified","Acquired absence of limb, unspecified is a medical condition that requires attention. Symptoms may vary."
Rheumatoid arthritis of multiple sites with involvement of other organs and systems,Rheumatoid arthritis of multiple sites with involvement of other organs and systems is a medical condition that requires attention. Symptoms may vary.
Nasal polyp,Nasal polyp is a medical condition that requires attention. Symptoms may vary.
Mechanical entropion of eyelid,Mechanical entropion of eyelid is a medical condition that requires attention. Symptoms may vary.
Diffuse traumatic brain injury with loss of consciousness greater than 24 hours with return to pre-existing conscious levels,Diffuse traumatic brain injury with loss of consciousness greater than 24 hours with return to pre-existing conscious levels is a medical condition that requires attention. Symptoms may vary.
"Toxic effect of unspecified metal, accidental (unintentional)","Toxic effect of unspecified metal, accidental (unintentional) is a medical condition that requires attention. Symptoms may vary."
"Unspecified injury of muscle, fascia and tendon of left hip","Unspecified injury of muscle, fascia and tendon of left hip is a medical condition that requires attention. Symptoms may vary."
"Other and unspecified dorsopathies, not elsewhere classified","Other and unspecified dorsopathies, not elsewhere classified is a medical condition that requires attention. Symptoms may vary."
"Poisoning by other nonsteroidal anti-inflammatory drugs [NSAID], accidental (unintentional)","Poisoning by other nonsteroidal anti-inflammatory drugs [NSAID], accidental (unintentional) is a medical condition that requires attention. Symptoms may vary."
Unspecified open wound of left breast,Unspecified open wound of left breast is a medical condition that requires attention. Symptoms may vary.
Laceration with foreign body of right little finger with damage to nail,Laceration with foreign body of right little finger with damage to nail is a medical condition that requires attention. Symptoms may vary.
Osteonecrosis due to drugs,Osteonecrosis due to drugs is a medical condition that requires attention. Symptoms may vary.
"Toxic effect of glycols, assault","Toxic effect of glycols, assault is a medical condition that requires attention. Symptoms may vary."
"Abrasion of unspecified external genital organs, female","Abrasion of unspecified external genital organs, female is a medical condition that requires attention. Symptoms may vary."
Unspecified injury of thoracic trachea,Unspecified injury of thoracic trachea is a medical condition that requires attention. Symptoms may vary.
Other subluxation of right patella,Other subluxation of right patella is a medical condition that requires attention. Symptoms may vary.
Rupture of uterus (spontaneous) before onset of labor,Rupture of uterus (spontaneous) before onset of labor is a medical condition that requires attention. Symptoms may vary.
Other and unspecified disorders of prostate,Other and unspecified disorders of prostate is a medical condition that requires attention. Symptoms may vary.
Pedestrian on skateboard injured in collision with heavy transport vehicle or bus in nontraffic accident,Pedestrian on skateboard injured in collision with heavy transport vehicle or bus in nontraffic accident is a medical condition that requires attention. Symptoms may vary.
Burn due to merchant ship on fire,Burn due to merchant ship on fire is a medical condition that requires attention. Symptoms may vary.
"Effusion, hand","Effusion, hand is a medical condition that requires attention. Symptoms may vary."
Underdosing of mixed antiepileptics,Underdosing of mixed antiepileptics is a medical condition that requires attention. Symptoms may vary.
"Post-traumatic urethral stricture, male","Post-traumatic urethral stricture, male is a medical condition that requires attention. Symptoms may vary."
Animal-rider injured in unspecified transport accident,Animal-rider injured in unspecified transport accident is a medical condition that requires attention. Symptoms may vary.
Encounter for fitting and adjustment of external breast prosthesis,Encounter for fitting and adjustment of external breast prosthesis is a medical condition that requires attention. Symptoms may vary.
NIHSS score 0-9,NIHSS score 0-9 is a medical condition that requires attention. Symptoms may vary.
Embolism and thrombosis of arteries of the upper extremities,Embolism and thrombosis of arteries of the upper extremities is a medical condition that requires attention. Symptoms may vary.
Motorcycle rider (driver) (passenger) injured in other specified transport accidents,Motorcycle rider (driver) (passenger) injured in other specified transport accidents is a medical condition that requires attention. Symptoms may vary.
Traumatic rupture of volar plate of right ring finger at metacarpophalangeal and interphalangeal joint,Traumatic rupture of volar plate of right ring finger at metacarpophalangeal and interphalangeal joint is a medical condition that requires attention. Symptoms may vary.
"Other rupture of muscle (nontraumatic), thigh","Other rupture of muscle (nontraumatic), thigh is a medical condition that requires attention. Symptoms may vary."
Abnormal findings on diagnostic imaging of other specified body structures,Abnormal findings on diagnostic imaging of other specified body structures is a medical condition that requires attention. Symptoms may vary.
Prolapse and hernia of ovary and fallopian tube,Prolapse and hernia of ovary and fallopian tube is a medical condition that requires attention. Symptoms may vary.
"Toxic effect of unspecified substance, undetermined","Toxic effect of unspecified substance, undetermined is a medical condition that requires attention. Symptoms may vary."
"Insect bite (nonvenomous), right foot","Insect bite (nonvenomous), right foot is a medical condition that requires attention. Symptoms may vary."
"Unspecified injury of femoral artery, unspecified leg","Unspecified injury of femoral artery, unspecified leg is a medical condition that requires attention. Symptoms may vary."
Person on outside of pick-up truck or van injured in collision with two- or three-wheeled motor vehicle in nontraffic accident,Person on outside of pick-up truck or van injured in collision with two- or three-wheeled motor vehicle in nontraffic accident is a medical condition that requires attention. Symptoms may vary.
"Unspecified juvenile rheumatoid arthritis, wrist","Unspecified juvenile rheumatoid arthritis, wrist is a medical condition that requires attention. Symptoms may vary."
"Congenital deformity of feet, unspecified","Congenital deformity of feet, unspecified is a medical condition that requires attention. Symptoms may vary."
"Other specified bursopathies, wrist","Other specified bursopathies, wrist is a medical condition that requires attention. Symptoms may vary."
Systemic sclerosis [scleroderma],Systemic sclerosis [scleroderma] is a medical condition that requires attention. Symptoms may vary.
Unspecified injury of muscle and tendon of unspecified wall of thorax,Unspecified injury of muscle and tendon of unspecified wall of thorax is a medical condition that requires attention. Symptoms may vary.
Puncture wound without foreign body of pharynx and cervical esophagus,Puncture wound without foreign body of pharynx and cervical esophagus is a medical condition that requires attention. Symptoms may vary.
"Unspecified injury of unspecified muscles, fascia and tendons at thigh level, right thigh","Unspecified injury of unspecified muscles, fascia and tendons at thigh level, right thigh is a medical condition that requires attention. Symptoms may vary."
"Other chondrocalcinosis, knee","Other chondrocalcinosis, knee is a medical condition that requires attention. Symptoms may vary."
"Unspecified physeal fracture of lower end of ulna, left arm","Unspecified physeal fracture of lower end of ulna, left arm is a medical condition that requires attention. Symptoms may vary."
"Unspecified injury of other blood vessels of thorax, left side","Unspecified injury of other blood vessels of thorax, left side is a medical condition that requires attention. Symptoms may vary."
"Poisoning by coronary vasodilators, assault","Poisoning by coronary vasodilators, assault is a medical condition that requires attention. Symptoms may vary."
Pulsatile tinnitus,Pulsatile tinnitus is a medical condition that requires attention. Symptoms may vary.
Other and unspecified edema specific to newborn,Other and unspecified edema specific to newborn is a medical condition that requires attention. Symptoms may vary.
"Injury of visual cortex, left side","Injury of visual cortex, left side is a medical condition that requires attention. Symptoms may vary."
"Persistent migraine aura with cerebral infarction, intractable","Persistent migraine aura with cerebral infarction, intractable is a medical condition that requires attention. Symptoms may vary."
"Toxic effect of unspecified organic solvent, accidental (unintentional)","Toxic effect of unspecified organic solvent, accidental (unintentional) is a medical condition that requires attention. Symptoms may vary."
Unspecified disorder of refraction,Unspecified disorder of refraction is a medical condition that requires attention. Symptoms may vary.
Other superficial bite of left great toe,Other superficial bite of left great toe is a medical condition that requires attention. Symptoms may vary.
Unspecified injury of blood vessel of other finger,Unspecified injury of blood vessel of other finger is a medical condition that requires attention. Symptoms may vary.
Other specified disorders of lens,Other specified disorders of lens is a medical condition that requires attention. Symptoms may vary.
Ankylosis of ear ossicles,Ankylosis of ear ossicles is a medical condition that requires attention. Symptoms may vary.
Other dorsalgia,Other dorsalgia is a medical condition that requires attention. Symptoms may vary.
Unspecified disorder of eyelid,Unspecified disorder of eyelid is a medical condition that requires attention. Symptoms may vary.
Unspecified superficial injury of unspecified ear,Unspecified superficial injury of unspecified ear is a medical condition that requires attention. Symptoms may vary.
Unspecified focal traumatic brain injury with loss of consciousness of 30 minutes or less,Unspecified focal traumatic brain injury with loss of consciousness of 30 minutes or less is a medical condition that requires attention. Symptoms may vary.
"Gout due to renal impairment, wrist","Gout due to renal impairment, wrist is a medical condition that requires attention. Symptoms may vary."
Unspecified dislocation of left thumb,Unspecified dislocation of left thumb is a medical condition that requires attention. Symptoms may vary.
"Toxic effect of sulfur dioxide, accidental (unintentional)","Toxic effect of sulfur dioxide, accidental (unintentional) is a medical condition that requires attention. Symptoms may vary."
"Osteochondropathy, unspecified of forearm","Osteochondropathy, unspecified of forearm is a medical condition that requires attention. Symptoms may vary."
"Enteropathic arthropathies, wrist","Enteropathic arthropathies, wrist is a medical condition that requires attention. Symptoms may vary."
Unspecified placental disorder,Unspecified placental disorder is a medical condition that requires attention. Symptoms may vary.
Other injury of inferior vena cava,Other injury of inferior vena cava is a medical condition that requires attention. Symptoms may vary.
Crushing injury of unspecified hip with thigh,Crushing injury of unspecified hip with thigh is a medical condition that requires attention. Symptoms may vary.
"Toxic effect of contact with other jellyfish, accidental (unintentional)","Toxic effect of contact with other jellyfish, accidental (unintentional) is a medical condition that requires attention. Symptoms may vary."
4-part fracture of surgical neck of unspecified humerus,4-part fracture of surgical neck of unspecified humerus is a medical condition that requires attention. Symptoms may vary.
Nondisplaced simple supracondylar fracture without intercondylar fracture of left humerus,Nondisplaced simple supracondylar fracture without intercondylar fracture of left humerus is a medical condition that requires attention. Symptoms may vary.
Unspecified open wound of lip,Unspecified open wound of lip is a medical condition that requires attention. Symptoms may vary.
"Poisoning by unspecified psychostimulants, intentional self-harm","Poisoning by unspecified psychostimulants, intentional self-harm is a medical condition that requires attention. Symptoms may vary."
"Neonatal aspiration, unspecified","Neonatal aspiration, unspecified is a medical condition that requires attention. Symptoms may vary."
Frostbite with tissue necrosis of left toe(s),Frostbite with tissue necrosis of left toe(s) is a medical condition that requires attention. Symptoms may vary.
"Toxic effect of unspecified gases, fumes and vapors, accidental (unintentional)","Toxic effect of unspecified gases, fumes and vapors, accidental (unintentional) is a medical condition that requires attention. Symptoms may vary."
"Other secondary chronic gout, unspecified hand","Other secondary chronic gout, unspecified hand is a medical condition that requires attention. Symptoms may vary."
Other fracture of shaft of unspecified fibula,Other fracture of shaft of unspecified fibula is a medical condition that requires attention. Symptoms may vary.
Traumatic cerebral edema with loss of consciousness of any duration with death due to brain injury prior to regaining consciousness,Traumatic cerebral edema with loss of consciousness of any duration with death due to brain injury prior to regaining consciousness is a medical condition that requires attention. Symptoms may vary.
Salter-Harris Type IV physeal fracture of left metatarsal,Salter-Harris Type IV physeal fracture of left metatarsal is a medical condition that requires attention. Symptoms may vary.
Other specified retinal disorders,Other specified retinal disorders is a medical condition that requires attention. Symptoms may vary.
Sprain of tarsometatarsal ligament of right foot,Sprain of tarsometatarsal ligament of right foot is a medical condition that requires attention. Symptoms may vary.
Unspecified lump in breast,Unspecified lump in breast is a medical condition that requires attention. Symptoms may vary.
"Other soft tissue disorders related to use, overuse and pressure of ankle and foot","Other soft tissue disorders related to use, overuse and pressure of ankle and foot is a medical condition that requires attention. Symptoms may vary."
"Coma scale, best verbal response, oriented","Coma scale, best verbal response, oriented is a medical condition that requires attention. Symptoms may vary."
Thromboembolism in the puerperium,Thromboembolism in the puerperium is a medical condition that requires attention. Symptoms may vary.
Fall on board other unpowered watercraft,Fall on board other unpowered watercraft is a medical condition that requires attention. Symptoms may vary.
Other injury of rectum,Other injury of rectum is a medical condition that requires attention. Symptoms may vary.
Transplanted organ and tissue status,Transplanted organ and tissue status is a medical condition that requires attention. Symptoms may vary.
Driver of three-wheeled motor vehicle injured in collision with pedal cycle in traffic accident,Driver of three-wheeled motor vehicle injured in collision with pedal cycle in traffic accident is a medical condition that requires attention. Symptoms may vary.
"Juvenile arthritis, unspecified, vertebrae","Juvenile arthritis, unspecified, vertebrae is a medical condition that requires attention. Symptoms may vary."
Allergic and dietetic gastroenteritis and colitis,Allergic and dietetic gastroenteritis and colitis is a medical condition that requires attention. Symptoms may vary.
Obturator subluxation of right hip,Obturator subluxation of right hip is a medical condition that requires attention. Symptoms may vary.
"Injury of accessory nerve, unspecified side","Injury of accessory nerve, unspecified side is a medical condition that requires attention. Symptoms may vary."
Abdominal migraine,Abdominal migraine is a medical condition that requires attention. Symptoms may vary.
"Synovial hypertrophy, not elsewhere classified, hand","Synovial hypertrophy, not elsewhere classified, hand is a medical condition that requires attention. Symptoms may vary."
Breakdown (mechanical) of biological heart valve graft,Breakdown (mechanical) of biological heart valve graft is a medical condition that requires attention. Symptoms may vary.
Stable burst fracture of T11-T12 vertebra,Stable burst fracture of T11-T12 vertebra is a medical condition that requires attention. Symptoms may vary.
Passenger on bus injured in collision with fixed or stationary object in traffic accident,Passenger on bus injured in collision with fixed or stationary object in traffic accident is a medical condition that requires attention. Symptoms may vary.
Frostbite with tissue necrosis of unspecified ear,Frostbite with tissue necrosis of unspecified ear is a medical condition that requires attention. Symptoms may vary.
"Bacterial intestinal infection, unspecified","Bacterial intestinal infection, unspecified is a medical condition that requires attention. Symptoms may vary."
Puncture wound with foreign body of unspecified wrist,Puncture wound with foreign body of unspecified wrist is a medical condition that requires attention. Symptoms may vary.
Laceration of left Achilles tendon,Laceration of left Achilles tendon is a medical condition that requires attention. Symptoms may vary.
"Burn of unspecified degree of unspecified ear [any part, except ear drum]","Burn of unspecified degree of unspecified ear [any part, except ear drum] is a medical condition that requires attention. Symptoms may vary."
"Chronic gout due to renal impairment, unspecified knee","Chronic gout due to renal impairment, unspecified knee is a medical condition that requires attention. Symptoms may vary."
Puncture wound with foreign body of left back wall of thorax with penetration into thoracic cavity,Puncture wound with foreign body of left back wall of thorax with penetration into thoracic cavity is a medical condition that requires attention. Symptoms may vary.
Anaphylactic reaction due to other serum,Anaphylactic reaction due to other serum is a medical condition that requires attention. Symptoms may vary.
"Penetrating wound of orbit with or without foreign body, unspecified eye","Penetrating wound of orbit with or without foreign body, unspecified eye is a medical condition that requires attention. Symptoms may vary."
"Osteopathy in diseases classified elsewhere, shoulder","Osteopathy in diseases classified elsewhere, shoulder is a medical condition that requires attention. Symptoms may vary."
Unspecified subluxation of unspecified sternoclavicular joint,Unspecified subluxation of unspecified sternoclavicular joint is a medical condition that requires attention. Symptoms may vary.
Rift Valley fever,Rift Valley fever is a medical condition that requires attention. Symptoms may vary.
Sprain of unspecified rotator cuff capsule,Sprain of unspecified rotator cuff capsule is a medical condition that requires attention. Symptoms may vary.
Retracted nipple associated with pregnancy,Retracted nipple associated with pregnancy is a medical condition that requires attention. Symptoms may vary.
Bitten by other hoof stock,Bitten by other hoof stock is a medical condition that requires attention. Symptoms may vary.
Displaced fracture of left tibial tuberosity,Displaced fracture of left tibial tuberosity is a medical condition that requires attention. Symptoms may vary.
"Drug-induced chronic gout, unspecified hand","Drug-induced chronic gout, unspecified hand is a medical condition that requires attention. Symptoms may vary."
Unspecified open wound of left buttock,Unspecified open wound of left buttock is a medical condition that requires attention. Symptoms may vary.
"Familial chondrocalcinosis, shoulder","Familial chondrocalcinosis, shoulder is a medical condition that requires attention. Symptoms may vary."
Other fecal abnormalities,Other fecal abnormalities is a medical condition that requires attention. Symptoms may vary.
Anterior cord syndrome at C6 level of cervical spinal cord,Anterior cord syndrome at C6 level of cervical spinal cord is a medical condition that requires attention. Symptoms may vary.
Viral hepatitis complicating childbirth,Viral hepatitis complicating childbirth is a medical condition that requires attention. Symptoms may vary.
"Injury of right internal carotid artery, intracranial portion, not elsewhere classified with loss of consciousness of 31 minutes to 59 minutes","Injury of right internal carotid artery, intracranial portion, not elsewhere classified with loss of consciousness of 31 minutes to 59 minutes is a medical condition that requires attention. Symptoms may vary."
Mumps with other complications,Mumps with other complications is a medical condition that requires attention. Symptoms may vary.
Unspecified fracture of right acetabulum,Unspecified fracture of right acetabulum is a medical condition that requires attention. Symptoms may vary.
